Price,address,Local_area,zipcode,latitude,longitude,beds,baths,sqft,url
"$250,000",6941 E Rivercrest Rd,Tucson,85750,32.269911,-110.844863,3 bds,2 ba,"1,995",https://www.zillow.com/homedetails/6941-E-Rivercrest-Rd-Tucson-AZ-85750/8471139_zpid/
"$350,000",9700 N Camino Del Grillo,Tucson,85742,32.382754,-111.021634,3 bds,2 ba,"1,697",https://www.zillow.com/homedetails/9700-N-Camino-Del-Grillo-Tucson-AZ-85742/8624028_zpid/
"$450,000",1122 S Una Ave,Tempe,85281,33.416237,-111.913161,3 bds,2 ba,"1,364",https://www.zillow.com/homedetails/1122-S-Una-Ave-Tempe-AZ-85281/7585263_zpid/
"$270,000",504 S 7th St,Buckeye,85326,33.365434,-112.581872,3 bds,2 ba,"1,127",https://www.zillow.com/homedetails/504-S-7th-St-Buckeye-AZ-85326/8287031_zpid/
"$17,750",2650 W Union Hills Dr #118,Phoenix,85027,33.656703,-112.116007,2 bds,1 ba,910,https://www.zillow.com/homedetails/2650-W-Union-Hills-Dr-118-Phoenix-AZ-85027/2072060904_zpid/
"$305,000",9987 W Monterosa Ave,Phoenix,85037,33.495734,-112.276656,3 bds,2 ba,"1,189",https://www.zillow.com/homedetails/9987-W-Monterosa-Ave-Phoenix-AZ-85037/7484545_zpid/
"$347,000",4640 N Montezuma Ave,Rimrock,86335,34.636711,-111.777874,2 bds,2 ba,"1,613",https://www.zillow.com/homedetails/4640-N-Montezuma-Ave-Rimrock-AZ-86335/8768831_zpid/
"$199,990",66 County Road 8113,Concho,85924,34.355082,-109.773992,3 bds,2 ba,"1,184",https://www.zillow.com/homedetails/66-County-Road-8113-Concho-AZ-85924/2070299990_zpid/
"$849,900",1987 W Fresh Aire St,Flagstaff,86001,35.184236,-111.680027,4 bds,3 ba,"3,099",https://www.zillow.com/homedetails/1987-W-Fresh-Aire-St-Flagstaff-AZ-86001/64956560_zpid/
"$598,000",410 Barnwood Trl,Munds Park,86017,34.946482,-111.656835,4 bds,4 ba,"2,811",https://www.zillow.com/homedetails/410-Barnwood-Trl-Munds-Park-AZ-86017/7377817_zpid/
"$295,000",2683 S Ave 7 3/4 E,Yuma,85365,32.679471,-114.499644,4 bds,3 ba,"1,650",https://www.zillow.com/homedetails/2683-S-Ave-7-3-4-E-Yuma-AZ-85365/2132188331_zpid/
"$7,947",2007 Snake Ranch Rd,Concho,85924,34.45812,-109.525498,10 acres lot,- Lot / Land for sale,,https://www.zillow.com/homedetails/2007-Snake-Ranch-Rd-Concho-AZ-85924/2069945282_zpid/
"$130,000",4800 N 68th St UNIT 262,Scottsdale,85251,33.507922,-111.935265,1 bd,1 ba,624,https://www.zillow.com/homedetails/4800-N-68th-St-UNIT-262-Scottsdale-AZ-85251/7844734_zpid/
"$159,900",789 S Jefferson St,Coolidge,85128,32.970205,-111.509398,2 bds,2 ba,840,https://www.zillow.com/homedetails/789-S-Jefferson-St-Coolidge-AZ-85128/55504650_zpid/
"$398,900",10023 N Laurelwood Dr,Tucson,85737,32.388399,-110.96827,4 bds,2 ba,"1,805",https://www.zillow.com/homedetails/10023-N-Laurelwood-Dr-Tucson-AZ-85737/8622524_zpid/
"$69,500",2101 W Irvine Rd LOT 0,Phoenix,85086,33.834878,-112.105191,2.35 acres lot,- Lot / Land for sale,,https://www.zillow.com/homedetails/2101-W-Irvine-Rd-LOT-0-Phoenix-AZ-85086/2075424688_zpid/
"$900,000",26218 N 47th Dr,Phoenix,85083,33.723403,-112.161411,3 bds,3 ba,"3,041",https://www.zillow.com/homedetails/26218-N-47th-Dr-Phoenix-AZ-85083/55263005_zpid/
"$345,000",43850 W Kramer Ln,Maricopa,85138,33.066145,-112.038884,4 bds,2 ba,"1,884",https://www.zillow.com/homedetails/43850-W-Kramer-Ln-Maricopa-AZ-85138/71683011_zpid/
"$160,000",3605 W Bethany Home Rd APT 15,Phoenix,85019,33.523649,-112.137173,3 bds,2 ba,"1,260",https://www.zillow.com/homedetails/3605-W-Bethany-Home-Rd-APT-15-Phoenix-AZ-85019/2142826892_zpid/
"$450,000",64483 E Sugar Ln,Saddlebrooke,85739,32.537492,-110.878241,2 bds,3 ba,"2,424",https://www.zillow.com/homedetails/64483-E-Sugar-Ln-Saddlebrooke-AZ-85739/8689073_zpid/
"$60,000",7255 S Cole Ln,Hereford,85615,31.436752,-110.244038,3 bds,2 ba,"1,706",https://www.zillow.com/homedetails/7255-S-Cole-Ln-Hereford-AZ-85615/7391386_zpid/
"$949,000",7131 E Indigo St,Mesa,85207,33.444604,-111.676308,3 bds,4 ba,"2,872",https://www.zillow.com/homedetails/7131-E-Indigo-St-Mesa-AZ-85207/68538338_zpid/
